"step_id","step_name","step_description","task_name"
"b8c9d0e1-f2a3-4567-8901-234577890123","Soil Compaction","Compact soil in foundation area","Excavation"
"c3d4e5f6-a7b8-9012-3456-789012345678","Door Installation","Install external doors and frames","Windows & Doors"
"d4e5f6a7-b8c9-0123-4567-890123456789","Sealants & Flashings","Install sealants and flashings","Windows & Doors"
"e5f6a7b8-c9d0-1234-5678-901234567890","Surface Preparation","Prepare surfaces for painting","External Painting"
"f6a7b8c9-d0e1-2345-6789-012345678901","Primer Application","Apply primer coat to surfaces","External Painting"
"a7b8c9d0-e1f2-3456-7890-123456789012","Top Coat Application","Apply final paint coats","External Painting"
"b8c9d0e1-f2a3-4567-8901-234667890123","Excavation & Formwork","Excavate and form concrete areas","Driveway & Paths"
"c9d0e1f2-a3b4-5678-9012-345778901234","Concrete Pouring","Pour and finish concrete","Driveway & Paths"
"d0e1f2a3-b4c5-6789-0123-457789012345","Water Supply Pipes","Install main water supply pipes","Plumbing Rough-in"
"e1f2a3b4-c5d6-7890-1234-577890123456","Drainage Pipes","Install drainage and waste pipes","Plumbing Rough-in"
"f2a3b4c5-d6e7-8901-2345-778901234567","Ventilation Pipes","Install ventilation and vent pipes","Plumbing Rough-in"
"a3b4c5d6-e7f8-9012-3456-889012345678","Main Electrical Board","Install main electrical switchboard","Electrical Rough-in"
"b4c5d6e7-f8a9-0123-4567-990123456789","Electrical Wiring","Install electrical wiring and conduits","Electrical Rough-in"
"c5d6e7f8-a9b0-1234-5678-001234567890","Power Points & Switches","Install power points and switches","Electrical Rough-in"
"d6e7f8a9-b0c1-2345-6789-112345678901","Ductwork Installation","Install HVAC ductwork and vents","HVAC Installation"
"e7f8a9b0-c1d2-3456-7890-223456789012","HVAC Unit Installation","Install heating and cooling units","HVAC Installation"
"f8a9b0c1-d2e3-4567-8901-334567890123","Ceiling Installation","Install plasterboard ceilings","Internal Lining"
"a9b0c1d2-e3f4-5678-9012-445678901234","Wall Lining","Install plasterboard walls","Internal Lining"
"b0c1d2e3-f4a5-6789-0123-556789012345","Jointing & Finishing","Joint and finish plasterboard","Internal Lining"
"a308032a-fbd1-43ed-b734-1c82d6147e01","Reinforcement Installation","Install steel reinforcement","Foundation"
"46fd3d0c-f692-4f66-a74b-55ef6efbcdbe","Concrete Pouring","Pour and finish concrete foundation","Foundation"
"46323c56-1059-413a-8cbd-b8c2e6e83b13","Stormwater Pipes","Install stormwater drainage pipes","Drainage"
"48da5ea7-f325-4f3e-9bb1-992a5e729c43","Drainage Testing","Test drainage system","Drainage"
"f0841097-366c-4ba9-8ce8-bc479ba3cc23","Roof Trusses","Install roof trusses","Roof Frame"
"7e941823-7943-4320-b770-a0e4868614d5","Foundation Bricks","Lay foundation course of bricks","Brickwork"
"9192cc5d-852b-446c-ae5c-bdfdea4da96c","Wall Bricklaying","Lay brick walls with proper bonding","Brickwork"
