"id","name","description","category_group"
"0de71499-e8ab-4526-848d-8197b7a4b73f","Concrete & Cement","Concrete, cement, aggregates, and related materials for foundations and structural work","Foundation & Structure"
"de8c8543-19b4-4b8e-ab47-ffce49060dda","Steel Reinforcement","Rebar, mesh, steel beams, and structural steel components","Foundation & Structure"
"5be5d41d-cf52-4932-b96a-09ba56b3c55e","Formwork Materials","Timber formwork, plywood, form ties, and concrete forming materials","Foundation & Structure"
"66167c69-5d69-48a0-b472-c4a292dfb1f5","Waterproofing Materials","Waterproof membranes, sealants, and damp-proofing materials","Foundation & Structure"
"10f588b5-cb69-4b89-8400-62331837844b","Timber Framing","Structural timber, LVL, I-joists, and engineered wood products","Framing & Structure"
"e4a5bae7-fe63-4de8-9691-cd342d5607bc","Metal Framing","Steel framing, C-section steel, and metal structural components","Framing & Structure"
"41e4b0a3-f154-449f-9208-d58ecf4dde58","Roof Trusses","Pre-fabricated roof trusses, rafters, and roof framing components","Framing & Structure"
"a0fd747a-28df-402a-9a69-b58d7935ddf5","Wall & Ceiling Linings","Gyprock, plasterboard, VJ boards, and internal wall linings","Framing & Structure"
"bb323c57-d26b-4ec0-ba5b-02d5ea67e7fb","Gutters & Downpipes","Gutters, downpipes, flashings, and roof drainage systems","Roofing"
"8791be69-ce6e-4f15-8d48-5ebb4513ad00","Roof Insulation","Roof insulation batts, reflective foil, and thermal barriers","Roofing"
"b3552b67-fd00-48d1-a4e8-d65757fa95ae","Roof Accessories","Ridge capping, valley gutters, roof vents, and roof hardware","Roofing"
"68401c1a-2fba-4a44-93f5-9685008a97bb","External Cladding","Weatherboard, brick veneer, render, and external wall cladding","Exterior"
"627c8dd3-452c-48ad-b10a-fe300403fa29","External Finishes","Paint, stains, sealers, and external finishing materials","Exterior"
"860a5be8-9e35-4f6f-bc8a-1f9c04467312","Windows & External Doors","Windows, external doors, frames, and glazing materials","Exterior"
"3b2a3a65-bf89-4a34-adde-feb849698579","External Hardware","Door handles, locks, hinges, and external door/window hardware","Exterior"
"d393fa21-8672-4689-a4e9-1cafe28b5fe1","Plumbing Pipes & Fittings","Copper pipes, PVC pipes, fittings, and plumbing connections","Plumbing"
"fcb1ea8f-535d-4e56-b3dd-855c21369393","Bathroom Fixtures","Toilets, basins, baths, showers, and bathroom fixtures","Plumbing"
"b33f3e68-8819-4a37-8bd5-8dc16c252484","Kitchen Fixtures","Kitchen sinks, taps, and kitchen plumbing fixtures","Plumbing"
"00739842-08d4-4301-9aa2-ad431027a152","Hot Water Systems","Hot water units, solar systems, and water heating equipment","Plumbing"
"885d164c-01aa-4a52-a40f-f7079a03b4e4","Plumbing Accessories","Plumbing valves, connectors, and miscellaneous plumbing parts","Plumbing"
